service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101P,1,1,1,1,1,0,0,20221114,20251231
101PF,0,0,0,0,1,0,0,20240429,20251231
101PMT,1,1,1,1,0,0,0,20240429,20251231
101C,1,1,1,1,1,0,0,20221114,20251231
101B,1,1,1,1,1,0,0,20221114,20251231
102,0,0,0,0,0,1,0,20221114,20251231
103,0,0,0,0,0,0,1,20221114,20251231
104,0,0,0,0,1,0,0,20221114,20251231
101PennR,0,0,0,0,0,0,0,20221114,20251231
101CamdenR,0,0,0,0,0,0,0,20221114,20251231
101BrunswickR,0,0,0,0,0,0,0,20221114,20251231
101PennRP,0,0,0,0,0,0,0,20221114,20251231
101CamdenRP,0,0,0,0,0,0,0,20221114,20251231
101BrunswickRP,0,0,0,0,0,0,0,20221114,20251231
103Normal,0,0,0,0,0,0,1,20221114,20251231
103Amtrak,0,0,0,0,0,0,0,20221114,20251231
PennHoliday24Special,0,0,0,0,0,0,0,20241212,20241231
